var,lo,mi,hi,n_eff,Rhat
alpha[1],-0.024164660508777074,0.06083230082018942,0.1482332362350736,3774.9110598437396,1.0003673729293303
alpha[2],-0.07284663510044637,0.015589690270442446,0.10801471860796463,3158.17109941169,1.0006466796500473
alpha[3],-0.10064585584216335,-0.043603869002087944,0.01022581752485604,2760.864737671377,1.0009025694289677
alpha[4],-0.10857037329719317,-0.05224817855233359,-0.0012887053387846807,4544.961446872355,1.0000684217650229
z[1],-1.0778471039441813,-0.4803695744096147,0.07106827614544961,5415.743012923622,0.9999334112032301
z[2],-1.4976581330114007,-0.8319165384634581,-0.1793989201954325,6335.140901922023,1.0003421057443664
z[3],0.2426081956571552,0.8524601898349782,1.5199527392732184,5695.524911034197,1.000055734506794
z[4],-0.32784510852006044,0.29676839605774363,0.9513528617883762,6472.456029770525,1.000376830074848
z[5],0.09187913059350872,0.6850007043729502,1.3149722402992154,5700.13616932966,0.9997390274143987
z[6],-1.12409390630559,-0.50874299278672,0.0651817500323899,5470.526909744478,0.9997957521154575
z[7],-0.32503152545113945,0.17969041116353018,0.7153629901274462,7639.756543921473,1.0004510603061272
z[8],-1.1156087651002438,-0.5834123978112531,-0.060119854471027245,7329.556097799604,0.9998086635736299
z[9],-1.4206351900825471,-0.8750971847451761,-0.36647698797725314,7702.939556451633,0.9996815023480796
z[10],-1.5048602707798593,-0.9443641918997298,-0.4077595768005699,7644.289624649627,0.999858626146517
z[11],-0.8981580192916574,-0.3566444747772706,0.18699253572447716,7718.8391859864905,0.9997967012830046
z[12],-0.25919204551111985,0.2713019024731831,0.8087783134784341,7363.223194476357,1.0003345479090293
z[13],-1.0108808727587013,-0.46387348758154573,0.08908487966772205,7584.320741110134,1.0001948872350361
z[14],0.6843110798985718,1.2364021732523078,1.816712340061923,7269.007773471987,1.0005542555619305
z[15],0.5760258986272712,1.1697570847955783,1.7768318119905746,6006.4238212407745,1.000069138255779
z[16],-0.5480632999193114,-0.01733919891211315,0.5090498187143838,7038.6625968429435,1.0001466400291936
z[17],-0.45534261431809336,0.05379398275322449,0.5902325535831078,8373.462085205989,1.0000464276554029
z[18],-1.2414608436705952,-0.7019651951436214,-0.20157285781869239,6937.971635877948,0.99991557002382
z[19],-1.5223012213894127,-0.9663540930087301,-0.4544094565983884,7735.333762945648,1.0001510381738106
z[20],-0.730549441032341,-0.20292942477662115,0.31050341244699575,7365.133455217087,0.9999297042728725
z[21],0.7415531297394626,1.2861890198103758,1.875905300412165,6592.962418839069,0.999786527351865
z[22],-0.1326279687885482,0.7902635288948989,1.7348321782030292,9282.445526688816,0.9998094175572356
z[23],0.3752056710760693,0.9398674624143767,1.5353935939778853,4410.266073967576,1.0002053885754336
z[24],-1.0381125442951857,-0.475228568083434,0.04953937286175606,4420.73174455831,1.0000799885685978
z[25],-1.4665341161388556,-0.8807079172295922,-0.32778055178597343,4003.537461281212,1.0000101406267132
z[26],-0.6205733558707406,-0.0890414101781041,0.4271730967354045,4445.354218594847,0.9998972609136986
z[27],-1.0179695916726914,-0.46672488651414457,0.033650116279986535,4099.264351606649,1.0003381156858662
z[28],0.41623047523932666,0.9792147734216572,1.6078235284118938,4350.884382836857,1.0002346856568822
z[29],-0.004843458424702311,0.5014459195064699,1.0531620282564331,4205.613317496648,1.0001949067567306
z[30],0.3459931982781628,0.9064822674565587,1.5352506010426985,5614.253977156016,1.0006852657415264
z[31],-1.4800230067274036,-0.8745616389186315,-0.3092580460059594,4278.611688710061,1.000190532329928
