trans,distance,year,taxon,count,midges,y,midges_z,time,time_z,dist,dist_z,distf,plot,taxon_plot,taxon_trans
btl,5,2008,cara,26,24004.585913000003,0.6212085791739431,1.101711040692176,0,0,1.6094379124341003,-1.3610040926424996,1.6094379124341,btl1.6094379124341,carabtl1.6094379124341,carabtl
btl,5,2009,cara,2,13713.815358266333,-1.0093650459361307,0.740048557745477,1,0.3479739337735782,1.6094379124341003,-1.3610040926424996,1.6094379124341,btl1.6094379124341,carabtl1.6094379124341,carabtl
btl,5,2010,cara,9,14192.239725229945,-0.11588955857210988,0.76220087476892,2,0.6959478675471564,1.6094379124341003,-1.3610040926424996,1.6094379124341,btl1.6094379124341,carabtl1.6094379124341,carabtl
btl,5,2011,cara,1,301,-1.3102631507557592,-1.7251338412764248,3,1.0439218013207345,1.6094379124341003,-1.3610040926424996,1.6094379124341,btl1.6094379124341,carabtl1.6094379124341,carabtl
btl,5,2012,cara,8,3776,-0.1940782333810937,-0.09305682603846711,4,1.3918957350943129,1.6094379124341003,-1.3610040926424996,1.6094379124341,btl1.6094379124341,carabtl1.6094379124341,carabtl
btl,5,2013,cara,10,9117,-0.04515929868131588,0.47631599976466443,5,1.739869668867891,1.6094379124341003,-1.3610040926424996,1.6094379124341,btl1.6094379124341,carabtl1.6094379124341,carabtl
btl,5,2014,cara,8,13339,-0.1940782333810937,0.722146890475014,6,2.087843602641469,1.6094379124341003,-1.3610040926424996,1.6094379124341,btl1.6094379124341,carabtl1.6094379124341,carabtl
btl,5,2015,cara,10,17832,-0.04515929868131588,0.9096832339637888,7,2.435817536415047,1.6094379124341003,-1.3610040926424996,1.6094379124341,btl1.6094379124341,carabtl1.6094379124341,carabtl
btl,5,2016,cara,30,11196,0.7237307794762655,0.6090107112904329,8,2.7837914701886257,1.6094379124341003,-1.3610040926424996,1.6094379124341,btl1.6094379124341,carabtl1.6094379124341,carabtl
btl,5,2017,cara,31,7334,0.7472916801858746,0.3357410443881231,9,3.131765403962204,1.6094379124341003,-1.3610040926424996,1.6094379124341,btl1.6094379124341,carabtl1.6094379124341,carabtl
btl,5,2008,gnap,7,24004.585913000003,-0.2814857352849424,1.101711040692176,0,0,1.6094379124341003,-1.3610040926424996,1.6094379124341,btl1.6094379124341,gnapbtl1.6094379124341,gnapbtl
btl,5,2009,gnap,0,13713.815358266333,-1.8246518584911675,0.740048557745477,1,0.3479739337735782,1.6094379124341003,-1.3610040926424996,1.6094379124341,btl1.6094379124341,gnapbtl1.6094379124341,gnapbtl
btl,5,2010,gnap,3,14192.239725229945,-0.7958744430203507,0.76220087476892,2,0.6959478675471564,1.6094379124341003,-1.3610040926424996,1.6094379124341,btl1.6094379124341,gnapbtl1.6094379124341,gnapbtl
btl,5,2011,gnap,0,301,-1.8246518584911675,-1.7251338412764248,3,1.0439218013207345,1.6094379124341003,-1.3610040926424996,1.6094379124341,btl1.6094379124341,gnapbtl1.6094379124341,gnapbtl
btl,5,2012,gnap,12,3776,0.07881254617620782,-0.09305682603846711,4,1.3918957350943129,1.6094379124341003,-1.3610040926424996,1.6094379124341,btl1.6094379124341,gnapbtl1.6094379124341,gnapbtl
btl,5,2013,gnap,1,9117,-1.3102631507557592,0.47631599976466443,5,1.739869668867891,1.6094379124341003,-1.3610040926424996,1.6094379124341,btl1.6094379124341,gnapbtl1.6094379124341,gnapbtl
btl,5,2014,gnap,5,13339,-0.4949763382007223,0.722146890475014,6,2.087843602641469,1.6094379124341003,-1.3610040926424996,1.6094379124341,btl1.6094379124341,gnapbtl1.6094379124341,gnapbtl
btl,5,2015,gnap,2,17832,-1.0093650459361307,0.9096832339637888,7,2.435817536415047,1.6094379124341003,-1.3610040926424996,1.6094379124341,btl1.6094379124341,gnapbtl1.6094379124341,gnapbtl
btl,5,2016,gnap,60,11196,1.2260524564959423,0.6090107112904329,8,2.7837914701886257,1.6094379124341003,-1.3610040926424996,1.6094379124341,btl1.6094379124341,gnapbtl1.6094379124341,gnapbtl
btl,5,2017,gnap,2,7334,-1.0093650459361307,0.3357410443881231,9,3.131765403962204,1.6094379124341003,-1.3610040926424996,1.6094379124341,btl1.6094379124341,gnapbtl1.6094379124341,gnapbtl
btl,5,2008,lyco,4,24004.585913000003,-0.6302782663075185,1.101711040692176,0,0,1.6094379124341003,-1.3610040926424996,1.6094379124341,btl1.6094379124341,lycobtl1.6094379124341,lycobtl
btl,5,2009,lyco,13,13713.815358266333,0.13380851975608993,0.740048557745477,1,0.3479739337735782,1.6094379124341003,-1.3610040926424996,1.6094379124341,btl1.6094379124341,lycobtl1.6094379124341,lycobtl
btl,5,2010,lyco,9,14192.239725229945,-0.11588955857210988,0.76220087476892,2,0.6959478675471564,1.6094379124341003,-1.3610040926424996,1.6094379124341,btl1.6094379124341,lycobtl1.6094379124341,lycobtl
btl,5,2011,lyco,2,301,-1.0093650459361307,-1.7251338412764248,3,1.0439218013207345,1.6094379124341003,-1.3610040926424996,1.6094379124341,btl1.6094379124341,lycobtl1.6094379124341,lycobtl
btl,5,2012,lyco,22,3776,0.5022173304460557,-0.09305682603846711,4,1.3918957350943129,1.6094379124341003,-1.3610040926424996,1.6094379124341,btl1.6094379124341,lycobtl1.6094379124341,lycobtl
btl,5,2013,lyco,12,9117,0.07881254617620782,0.47631599976466443,5,1.739869668867891,1.6094379124341003,-1.3610040926424996,1.6094379124341,btl1.6094379124341,lycobtl1.6094379124341,lycobtl
